Comunidades y ciudades autónomas de residencia,Sexo,Medio empleado,Total
Total,Ambos sexos,Total,4.227
Total,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",18.0
Total,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",206.0
Total,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",33.0
Total,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,7.0
Total,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",165.0
Total,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,7.0
Total,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,10.0
Total,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,55.0
Total,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,10.0
Total,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",85.0
Total,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1.962
Total,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,105.0
Total,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,53.0
Total,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",87.0
Total,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",53.0
Total,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Total,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",26.0
Total,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",2.0
Total,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,130.0
Total,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Total,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,1.077
Total,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,99.0
Total,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,14.0
Total,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,7.0
Total,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,16.0
Total,Hombres,Total,3.126
Total,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",8.0
Total,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",92.0
Total,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",21.0
Total,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,4.0
Total,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",98.0
Total,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,2.0
Total,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,4.0
Total,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,50.0
Total,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,8.0
Total,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",51.0
Total,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1.641
Total,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,66.0
Total,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,46.0
Total,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",84.0
Total,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",53.0
Total,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Total,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",17.0
Total,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",1.0
Total,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,112.0
Total,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Total,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,664.0
Total,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,77.0
Total,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,9.0
Total,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,6.0
Total,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,12.0
Total,Mujeres,Total,1.101
Total,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",10.0
Total,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",114.0
Total,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",12.0
Total,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,3.0
Total,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",67.0
Total,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,5.0
Total,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,6.0
Total,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,5.0
Total,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,2.0
Total,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",34.0
Total,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",321.0
Total,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,39.0
Total,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,7.0
Total,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",3.0
Total,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Total,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Total,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",9.0
Total,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",1.0
Total,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,18.0
Total,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Total,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,413.0
Total,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,22.0
Total,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,5.0
Total,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Total,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,4.0
Andalucía,Ambos sexos,Total,830.0
Andalucía,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Andalucía,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",27.0
Andalucía,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",6.0
Andalucía,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Andalucía,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",34.0
Andalucía,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,1.0
Andalucía,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,4.0
Andalucía,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,13.0
Andalucía,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,2.0
Andalucía,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",26.0
Andalucía,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",448.0
Andalucía,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,15.0
Andalucía,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,9.0
Andalucía,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",22.0
Andalucía,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",13.0
Andalucía,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Andalucía,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",9.0
Andalucía,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Andalucía,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,26.0
Andalucía,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Andalucía,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,165.0
Andalucía,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,8.0
